"section","guideline","order"
"Products management","Restock and clean the bench after use (EtOH sanitization, empty tip bins).","1"
"Products management","Empty the liquid waste container once it reaches the fill line.","2"
"Products management","Inform the person in charge in advance when using consumables in bulk.","3"
"Reagent & Buffer Preparation","Refill 1X buffers immediately after use.","1"
"Reagent & Buffer Preparation","Notify the person in charge if 10X buffer stocks are low.","2"
"Reagent & Buffer Preparation","HI-FBS: Thaw at 37°C, heat-inactivate at 60°C for 30 minutes, then aliquot.","3"
"Reagent & Buffer Preparation","Contact the person in charge in advance if aliquoting is required.","4"
